Time (ms), SequenceNumber, TestData, 
96114, 166, 829059, 96114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96116, 167, 829081, 96116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96116, 168, 829101, 96116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96117, 169, 829120, 96117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96118, 170, 829140, 96118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96119, 171, 829161, 96119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96121, 172, 829181, 96121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96122, 173, 829201, 96122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96123, 174, 829221, 96123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96127, 175, 829241, 96127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
96127, 176, 829260, 96127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, UNALLOCATED, 
